time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-09 09:30:00-05:00,MLTrader,115f0a7db35f421cbda680db5d4d5982,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-09 09:30:00-05:00,MLTrader,115f0a7db35f421cbda680db5d4d5982,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.3699951171875,256.0,0.0
2023-01-10 09:30:00-05:00,MLTrader,9baf3d969e884ee587d2abe6428de7c2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,MLTrader,9baf3d969e884ee587d2abe6428de7c2,SPY,sell,market,fill,1,gtc,0.0,1,stock,387.25,516.0,0.0
2023-01-11 09:30:00-05:00,MLTrader,64fa0ea94d7647fb962fac62cdd93123,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-11 09:30:00-05:00,MLTrader,64fa0ea94d7647fb962fac62cdd93123,SPY,sell,market,fill,1,gtc,0.0,1,stock,392.2300109863281,1019.0,0.0
2023-01-13 09:30:00-05:00,MLTrader,92236f95097f4e67808f7f4391d29ddf,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,MLTrader,92236f95097f4e67808f7f4391d29ddf,SPY,sell,market,fill,1,gtc,0.0,1,stock,393.6199951171875,2031.0,0.0
2023-01-17 09:30:00-05:00,MLTrader,58cc4803a3124bf4afce3cb87c769ac2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-17 09:30:00-05:00,MLTrader,58cc4803a3124bf4afce3cb87c769ac2,SPY,sell,market,fill,1,gtc,0.0,1,stock,398.4800109863281,4012.0,0.0
2023-01-18 09:30:00-05:00,MLTrader,797112befed14874aca00407c0ec3b4c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 09:30:00-05:00,MLTrader,797112befed14874aca00407c0ec3b4c,SPY,sell,market,fill,1,gtc,0.0,1,stock,399.010009765625,8014.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,58e4b709a10144a39100548b4432afbf,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,58e4b709a10144a39100548b4432afbf,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,16425.0,0.0
2023-01-20 09:30:00-05:00,MLTrader,f4ef77df4f5443969736c957f78edf81,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-20 09:30:00-05:00,MLTrader,f4ef77df4f5443969736c957f78edf81,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.1000061035156,32788.0,0.0
2023-01-23 09:30:00-05:00,MLTrader,7366f203fd92401ba6ac09677749b6be,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-23 09:30:00-05:00,MLTrader,7366f203fd92401ba6ac09677749b6be,SPY,sell,market,fill,1,gtc,0.0,1,stock,396.7200012207031,64481.0,0.0
2023-01-24 09:30:00-05:00,MLTrader,3981b4c65a3143b2a2c55fdf439e9838,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-24 09:30:00-05:00,MLTrader,3981b4c65a3143b2a2c55fdf439e9838,SPY,sell,market,fill,1,gtc,0.0,1,stock,398.8800048828125,128264.0,0.0
2023-01-25 09:30:00-05:00,MLTrader,b9f81893e6fd46d9bf5fe6dd414b7222,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-25 09:30:00-05:00,MLTrader,b9f81893e6fd46d9bf5fe6dd414b7222,SPY,sell,market,fill,1,gtc,0.0,1,stock,395.95001220703125,258426.0,0.0
2023-01-26 09:30:00-05:00,MLTrader,532ec415030e42ceaa235ea98018de5a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 09:30:00-05:00,MLTrader,532ec415030e42ceaa235ea98018de5a,SPY,sell,market,fill,1,gtc,0.0,1,stock,403.1300048828125,507647.0,0.0
2023-01-27 09:30:00-05:00,MLTrader,719a6bb9d0074d6ca3897f5042022efa,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,21793d20d1164f7bb11413c535c28eca,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,04034534695445cea1dc636ae0d766d1,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,6ea35fd390a2497fa711a2e6089e64c1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,595db4c1be1e421db9f5d70e063c93bb,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,4148394e4dc64eebb1164ee562285a85,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,97fa152dc15a43ec81b9ac30d087b38a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,61cf61ec372347b2ba25e46f1e542469,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,6653945cacf545ddae4854f43af85d79,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,1c10ab0d347444068260be0820c51bd9,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,d37eeade23b6442295b3741174eee3e5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,faf0ec80ec494d54814d7c878aba3b58,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,e9bfc185004349ae960b5a991c1c6acb,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,002d758f8e0244218fdcd4b541671426,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,a4c96289bd4a41c98a060181d0cfeb46,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,a03ea35cb37f4ce99796d2c54eee29e1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,80ac2358e893474fb8bef6080687dff7,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,f04b41c1b47c41039e3e5eea4f396367,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,bdfa8c840424439b9b60cf7caa9fa8a6,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,b1868350529843a1848cce57e6a92f89,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,c94c745cf5da46c291f5f4a6a835aee5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,8f8ffda9aeea4531ac94774cfd35de6d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,0e1de65ce4774667874c740b3420695c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,c0b99cc4a34d45b593a34175a95b8097,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,21e07c8417ec489d805e6d37fb123f9e,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,5c9061b3928a4867bf01ea2c1ff585f7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,MLTrader,21e07c8417ec489d805e6d37fb123f9e,SPY,buy,market,fill,1,day,0.0,1,stock,403.6600036621094,1023879.0,0.0
2023-01-27 09:30:00-05:00,MLTrader,5c9061b3928a4867bf01ea2c1ff585f7,SPY,buy,market,fill,1,gtc,0.0,1,stock,403.6600036621094,1013961.0,0.0
