time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-02-13 10:00:00-05:00,MLTrader,bc69ecbb9c8a4a7b83a7e345b9d80209,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-13 10:00:00-05:00,MLTrader,bc69ecbb9c8a4a7b83a7e345b9d80209,SPY,buy,market,fill,1,gtc,0.0,1,stock,408.7200012207031,489.0,0.0
2023-02-21 08:30:00-05:00,MLTrader,73e1c80117a64eb8816271d609ce6693,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-21 08:30:00-05:00,MLTrader,e49c36190cd64991bf3d3188996da318,SPY,sell,stop,fill,1,day,0.0,1,stock,400.54560119628906,489.0,0.0
2023-02-22 10:00:00-05:00,MLTrader,3be860d393884bc7b07dbbf8e5a03baa,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-22 10:00:00-05:00,MLTrader,3be860d393884bc7b07dbbf8e5a03baa,SPY,sell,market,fill,1,gtc,0.0,1,stock,399.5199890136719,481.0,0.0
2023-03-09 08:30:00-05:00,MLTrader,8b42884f4a0345e3b1a2b84d8a5f0250,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-03-09 08:30:00-05:00,MLTrader,7b8bd2c070ef4485851aacfa552124b8,SPY,buy,limit,fill,1,day,0.0,1,stock,391.52958923339844,481.0,0.0
2023-03-10 10:00:00-05:00,MLTrader,11e9d56dd98040368f62146086a744d5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-03-10 10:00:00-05:00,MLTrader,11e9d56dd98040368f62146086a744d5,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.989990234375,511.0,0.0
2023-03-20 08:30:00-04:00,MLTrader,c4edf95c4b984595b11bebd46233aa01,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-03-20 08:30:00-04:00,MLTrader,b508608ad4e5450ea341b6c403ffba6c,SPY,buy,stop,fill,1,day,0.0,1,stock,398.80979003906253,511.0,0.0
2023-03-28 11:00:00-04:00,MLTrader,fe0b1f3d55d44a37abf1bcd9e302d63b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-28 11:00:00-04:00,MLTrader,fe0b1f3d55d44a37abf1bcd9e302d63b,SPY,buy,market,fill,1,gtc,0.0,1,stock,399.92999267578125,475.0,0.0
2023-03-30 08:30:00-04:00,MLTrader,1544f7741b714d10a6f1df92900945d9,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-03-30 08:30:00-04:00,MLTrader,81478ae4acd14e60a47862c1bcebc8aa,SPY,sell,limit,fill,1,day,0.0,1,stock,407.9285925292969,475.0,0.0
2023-04-03 11:00:00-04:00,MLTrader,ca52e2a84f99402d838ef2a2cf86fc0a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-03 11:00:00-04:00,MLTrader,ca52e2a84f99402d838ef2a2cf86fc0a,SPY,sell,market,fill,1,gtc,0.0,1,stock,411.6199951171875,480.0,0.0
2023-05-18 08:30:00-04:00,MLTrader,a3122dc27edb4e8bbd984044d9e77ca3,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-05-18 08:30:00-04:00,MLTrader,b7169950189b4f2397c7c4712475fe26,SPY,buy,stop,fill,1,day,0.0,1,stock,420.1700134277344,480.0,0.0
2023-05-18 11:00:00-04:00,MLTrader,d9861dab251144f28f067e3f1e3f5797,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-05-18 11:00:00-04:00,MLTrader,d9861dab251144f28f067e3f1e3f5797,SPY,buy,market,fill,1,gtc,0.0,1,stock,420.1700134277344,451.0,0.0
2023-05-23 08:30:00-04:00,MLTrader,958849c3aa5e434783268725b72a4925,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-05-23 08:30:00-04:00,MLTrader,cf8a29cb7bf14a85a65810a21b46810b,SPY,sell,stop,fill,1,day,0.0,1,stock,411.76661315917966,451.0,0.0
2023-06-08 11:00:00-04:00,MLTrader,5e45746b953d47bb8bf00e05f98837c6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-08 11:00:00-04:00,MLTrader,5e45746b953d47bb8bf00e05f98837c6,SPY,sell,market,fill,1,gtc,0.0,1,stock,429.9599914550781,423.0,0.0
2023-06-13 08:30:00-04:00,MLTrader,c6dd9184c8b443b3ab70200555752e52,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-13 08:30:00-04:00,MLTrader,8bb256c3181d4938b77d49ce363b927c,SPY,buy,stop,fill,1,day,0.0,1,stock,438.5591912841797,423.0,0.0
2023-06-15 11:00:00-04:00,MLTrader,d0cff4211cfe4ffbb165be2bc99f65a6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-15 11:00:00-04:00,MLTrader,d0cff4211cfe4ffbb165be2bc99f65a6,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.0199890136719,394.0,0.0
2023-06-21 08:30:00-04:00,MLTrader,e26527b75f9e4c5cae201d3498f0f21a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
