time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-04-11 09:30:00-04:00,MLTrader,46fa526be1b2426f86a40d09bf9561b2,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-11 09:30:00-04:00,MLTrader,46fa526be1b2426f86a40d09bf9561b2,AAPL,sell,market,fill,1,gtc,0.0,1,stock,162.35000610351562,616.0,0.0
2023-04-14 09:30:00-04:00,MLTrader,01b09b13fd2c4d7ca7690a1106f8ef67,AAPL,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-04-14 09:30:00-04:00,MLTrader,3e4ca4483a27468b9457fece84bd418a,AAPL,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-04-14 09:30:00-04:00,MLTrader,3d92f47ce3f84c07b8f5366a71c92d8e,AAPL,buy,market,new,1,day,0.0,1,stock,,,
2023-04-14 09:30:00-04:00,MLTrader,aa2a86cae1064a35839efcf9e8b9d743,AAPL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-14 09:30:00-04:00,MLTrader,3d92f47ce3f84c07b8f5366a71c92d8e,AAPL,buy,market,fill,1,day,0.0,1,stock,164.58999633789062,616.0,0.0
2023-04-14 09:30:00-04:00,MLTrader,aa2a86cae1064a35839efcf9e8b9d743,AAPL,buy,market,fill,1,gtc,0.0,1,stock,164.58999633789062,1215.0,0.0
2023-07-19 09:30:00-04:00,MLTrader,3412d863a18846fd9d41f60af4acf72f,AAPL,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-19 09:30:00-04:00,MLTrader,388c896d44194e7b8d04a9d4baa0af9f,AAPL,sell,limit,fill,1,day,0.0,1,stock,197.50799560546875,1215.0,0.0
2023-08-02 09:30:00-04:00,MLTrader,a2ed1b97705e4fae999a824c0bd369b4,AAPL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-02 09:30:00-04:00,MLTrader,a2ed1b97705e4fae999a824c0bd369b4,AAPL,sell,market,fill,1,gtc,0.0,1,stock,195.0399932861328,712.0,0.0
